time,id,age,gender,education,employment_status,province,migration_stage,time_in_current_stage,behavioral_attitude,subjective_norm,perceived_behavioral_control,actual_behavioral_control,V_score,has_family_abroad
1,38,42.59462811646154,female,18,underemployed,25,assessment,0.0,0.45,0.15000000000000002,0.5994729737462664,0.0,0.0,false
1,39,38.383874615214985,male,15,blue_collar,72,assessment,0.0,0.45,0.15000000000000002,0.6003444610264479,0.0,0.0,false
1,40,45.415878084975176,male,1,blue_collar,46,assessment,0.0,0.45,0.45,0.31000469271373593,0.0,0.0,true
1,41,47.68431216042382,male,4,white_collar,33,assessment,0.0,0.45,0.15000000000000002,0.49293229714312736,0.0,0.0,false
1,42,23.454026157276928,male,11,white_collar,59,never_consider,1.0,0.45,0.45,0.5285729225562237,0.0,0.0,true
1,43,35.501740398830826,female,16,self_employment,69,assessment,0.0,0.45,0.45,0.5432017120350595,0.0,0.0,true
1,44,35.0740193155101,female,13,white_collar,63,assessment,0.0,0.45,0.15000000000000002,0.5899028016598366,0.0,0.0,false
1,45,47.0310917563166,male,5,white_collar,47,assessment,0.0,0.45,0.45,0.4148041632927624,0.0,0.0,true
1,46,27.912868331895613,female,12,blue_collar,42,assessment,0.0,0.45,0.15000000000000002,0.45813519013165127,0.0,0.0,false
1,47,50.2020378884799,female,10,blue_collar,79,assessment,0.0,0.45,0.15000000000000002,0.3983064440804792,0.0,0.0,false
1,48,50.25733048886316,female,0,white_collar,68,assessment,0.0,0.45,0.15000000000000002,0.3145566385901065,0.0,0.0,false
1,49,32.7105538997963,male,7,blue_collar,25,assessment,0.0,0.45,0.45,0.34442634076365636,0.0,0.0,true
1,50,29.689280433730026,male,7,underemployed,22,assessment,0.0,0.45,0.15000000000000002,0.49030690872974436,0.0,0.0,false
1,51,22.07080096245293,male,12,underemployed,80,assessment,0.0,0.45,0.15000000000000002,0.4244472112398734,0.0,0.0,false
1,52,37.18411596686399,female,16,blue_collar,26,assessment,0.0,0.45,0.15000000000000002,0.5316675493680753,0.0,0.0,false
1,53,27.947894253975807,female,8,self_employment,68,assessment,0.0,0.45,0.15000000000000002,0.3184798086382547,0.0,0.0,false
1,54,24.04129469571757,female,12,white_collar,48,never_consider,1.0,0.45,0.15000000000000002,0.6055838635693211,0.0,0.0,false
1,55,20.180864397732865,male,15,self_employment,72,never_consider,1.0,0.45,0.45,0.5746052779390342,0.0,0.0,true
1,56,32.362050553724664,male,7,unemployed,38,assessment,0.0,0.45,0.15000000000000002,0.3441081998974303,0.0,0.0,false
1,57,42.45678590437254,male,14,white_collar,38,assessment,0.0,0.45,0.45,0.6479076281600304,0.0,0.0,true
1,58,44.18677534819459,male,19,underemployed,60,assessment,0.0,0.45,0.15000000000000002,0.6466508525379606,0.0,0.0,false
1,59,35.455355522291605,male,3,white_collar,2,assessment,0.0,0.45,0.15000000000000002,0.3631889585162602,0.0,0.0,false
1,60,46.67469207977293,male,10,self_employment,43,assessment,0.0,0.45,0.15000000000000002,0.4524450504624343,0.0,0.0,false
1,61,33.139605252114784,male,14,unemployed,76,assessment,0.0,0.45,0.15000000000000002,0.4804307018796107,0.0,0.0,false
1,62,38.809361095888136,female,7,underemployed,17,assessment,0.0,0.45,0.15000000000000002,0.3500248906655019,0.0,0.0,false
1,63,38.131888552291905,female,3,self_employment,1,assessment,0.0,0.45,0.15000000000000002,0.29297306293598835,0.0,0.0,false
1,64,44.89310444239599,female,14,underemployed,23,assessment,0.0,0.45,0.15000000000000002,0.5865354541783704,0.0,0.0,false
1,65,31.561559664884577,female,11,self_employment,9,assessment,0.0,0.45,0.15000000000000002,0.45358519288820276,0.0,0.0,false
1,66,27.115932191904538,male,14,unemployed,6,assessment,0.0,0.45,0.15000000000000002,0.3779413060716982,0.0,0.0,false
1,67,39.43479100955405,male,17,underemployed,68,assessment,0.0,0.45,0.15000000000000002,0.5178059642593629,0.0,0.0,false
1,68,41.70555221514696,female,6,blue_collar,26,assessment,0.0,0.45,0.15000000000000002,0.39152410041984154,0.0,0.0,false
1,69,40.195609133241405,male,12,blue_collar,56,assessment,0.0,0.45,0.15000000000000002,0.5365842393157751,0.0,0.0,false
1,70,35.73900921777577,female,8,self_employment,38,assessment,0.0,0.45,0.45,0.43118587830844063,0.0,0.0,true
1,71,54.449017990992424,female,2,self_employment,33,assessment,0.0,0.45,0.15000000000000002,0.2831315532510785,0.0,0.0,false
1,72,28.781162303879487,male,15,blue_collar,33,assessment,0.0,0.45,0.15000000000000002,0.5755625754152259,0.0,0.0,false
1,73,34.5965975688708,female,7,white_collar,32,assessment,0.0,0.45,0.15000000000000002,0.4915308130594124,0.0,0.0,false
1,74,35.89108508266441,female,11,white_collar,43,assessment,0.0,0.45,0.15000000000000002,0.532584919548962,0.0,0.0,false
1,75,42.84600179989818,female,2,white_collar,15,assessment,0.0,0.45,0.45,0.4281874807865408,0.0,0.0,true
1,76,20.64181841596963,female,4,blue_collar,40,never_consider,1.0,0.45,0.15000000000000002,0.3212257908763418,0.0,0.0,false
1,77,53.49446585527246,male,16,self_employment,66,assessment,0.0,0.45,0.15000000000000002,0.6107438371622458,0.0,0.0,false
1,78,37.03139817652858,female,1,blue_collar,35,assessment,0.0,0.45,0.15000000000000002,0.30608668924697624,0.0,0.0,false
1,79,27.781355187854565,female,7,unemployed,48,assessment,0.0,0.45,0.45,0.27443319334656413,0.0,0.0,true
1,80,59.16410116220803,female,15,white_collar,58,assessment,0.0,0.45,0.15000000000000002,0.6215796239724988,0.0,0.0,false
1,81,19.426567676576784,female,15,underemployed,70,never_consider,1.0,0.45,0.45,0.47195576085853364,0.0,0.0,true
1,82,19.48867029765047,female,4,self_employment,12,never_consider,1.0,0.45,0.15000000000000002,0.4045636828918949,0.0,0.0,false
1,83,30.64390375358723,male,0,underemployed,15,assessment,0.0,0.45,0.15000000000000002,0.3161378541678241,0.0,0.0,false
1,84,29.064422759837544,male,7,underemployed,62,assessment,0.0,0.45,0.15000000000000002,0.33267152487981716,0.0,0.0,false
1,85,23.947467702237255,male,19,blue_collar,74,assessment,0.0,0.45,0.15000000000000002,0.6239175181105873,0.0,0.0,false
1,86,47.697639796191446,female,4,white_collar,11,assessment,0.0,0.45,0.15000000000000002,0.47359209397920166,0.0,0.0,false
1,87,47.29159826240987,female,10,blue_collar,17,assessment,0.0,0.45,0.45,0.48856819633518456,0.0,0.0,true
1,88,23.104794470777282,female,9,blue_collar,74,assessment,0.0,0.45,0.15000000000000002,0.33604963817367317,0.0,0.0,false
1,89,29.079078344300264,female,3,blue_collar,80,assessment,0.0,0.45,0.15000000000000002,0.33934687262813423,0.0,0.0,false
1,90,30.93225189062685,male,11,unemployed,53,assessment,0.0,0.45,0.15000000000000002,0.3752840960024837,0.0,0.0,false
1,91,49.05103807020295,male,11,self_employment,19,assessment,0.0,0.45,0.15000000000000002,0.4227919290108809,0.0,0.0,false
1,92,27.676163991303508,male,11,blue_collar,72,assessment,0.0,0.45,0.15000000000000002,0.43485430765217614,0.0,0.0,false
1,93,25.000118927783785,male,0,blue_collar,3,assessment,0.0,0.45,0.15000000000000002,0.2520380233438455,0.0,0.0,false
1,94,33.94547903319832,male,11,blue_collar,40,assessment,0.0,0.45,0.15000000000000002,0.42194883647395953,0.0,0.0,false
1,95,41.50597910488047,male,4,blue_collar,32,assessment,0.0,0.45,0.15000000000000002,0.24208169657244138,0.0,0.0,false
1,96,48.762509258602456,male,7,unemployed,36,assessment,0.0,0.45,0.15000000000000002,0.23407641480383534,0.0,0.0,false
1,97,39.120725308678296,female,3,white_collar,64,assessment,0.0,0.45,0.15000000000000002,0.3960530037189337,0.0,0.0,false
1,98,39.72298537923141,female,6,blue_collar,55,assessment,0.0,0.45,0.15000000000000002,0.30140728791196125,0.0,0.0,false
1,99,24.28170660380314,male,19,blue_collar,23,assessment,0.0,0.45,0.15000000000000002,0.5170496032531072,0.0,0.0,false
1,100,30.22806419770047,male,8,blue_collar,9,assessment,0.0,0.45,0.15000000000000002,0.46521867579105636,0.0,0.0,false
2,1,33.98782144294657,male,12,unemployed,4,assessment,1.0,0.46507572464227565,0.45,0.3198127525210269,0.0,0.3793622788766196,true
2,2,31.813325054641435,female,8,self_employment,9,assessment,1.0,0.46507572464227565,0.15000000000000002,0.3419260700919097,0.0,0.2264705510961336,false
2,3,25.211142987972472,female,2,self_employment,3,assessment,1.0,0.46507572464227565,0.15000000000000002,0.3329573936453331,0.0,0.22348066817243942,false
2,4,49.52985539009521,female,6,unemployed,34,stay,0.0,0.46507572464227565,0.15000000000000002,0.21535183403867572,0.0,0.17972972794115435,false
2,5,23.410897966334666,male,19,blue_collar,8,assessment,1.0,0.46507572464227565,0.15000000000000002,0.5697882116099723,0.0,0.29234950272147864,false
2,6,28.19996010562943,male,4,white_collar,34,stay,0.0,0.46507572464227565,0.15000000000000002,0.4000717229487014,0.0,0.24497093387237845,false
2,7,43.111645653892985,male,16,white_collar,74,stay,0.0,0.46507572464227565,0.15000000000000002,0.690539092552518,0.0,0.3218398109042412,false
2,8,38.31396286397823,male,14,blue_collar,39,assessment,1.0,0.46507572464227565,0.15000000000000002,0.5165128175646543,0.0,0.2783467668838604,false
2,9,44.608612550618226,female,10,unemployed,31,assessment,1.0,0.46507572464227565,0.15000000000000002,0.34864016786008634,0.0,0.2286832420161411,false
2,10,24.84812311190591,female,19,self_employment,3,assessment,1.0,0.46507572464227565,0.45,0.5473331419067609,0.0,0.49628612096052255,true
2,11,46.774877257077705,male,2,self_employment,11,assessment,1.0,0.46507572464227565,0.15000000000000002,0.1877906961345259,0.0,0.1678350512264315,false
2,12,19.137007077730928,female,11,white_collar,66,assessment,1.0,0.46507572464227565,0.15000000000000002,0.517113890973784,0.0,0.2785086778649233,false
2,13,25.058879697896348,female,8,self_employment,37,assessment,1.0,0.46507572464227565,0.45,0.43523243117777144,0.0,0.4425546226512578,true
2,14,32.66155937300121,female,5,underemployed,51,assessment,1.0,0.46507572464227565,0.15000000000000002,0.31646304844316664,0.0,0.21787486607333806,false
2,15,25.215955441588157,male,1,unemployed,25,assessment,1.0,0.46507572464227565,0.15000000000000002,0.23287037548514553,0.0,0.18689718115255732,false
2,16,23.36650861901057,male,9,underemployed,53,assessment,1.0,0.46507572464227565,0.45,0.4447888347372452,0.0,0.4473868299712905,true
2,17,53.9896738562693,male,10,unemployed,10,stay,0.0,0.46507572464227565,0.15000000000000002,0.32585708897668886,0.0,0.22108496861275606,false
2,18,41.91654693566542,female,5,white_collar,64,assessment,1.0,0.46507572464227565,0.15000000000000002,0.3932621900453688,0.0,0.2428771881153216,false
2,19,31.892721334674434,male,4,white_collar,37,stay,0.0,0.46507572464227565,0.45,0.47454438801857146,0.0,0.4621092669578886,true
2,20,37.21309290668183,male,6,unemployed,76,assessment,1.0,0.46507572464227565,0.15000000000000002,0.27207092768928814,0.0,0.20201643287958837,false
2,21,35.80669116185172,male,13,blue_collar,18,stay,0.0,0.46507572464227565,0.15000000000000002,0.4894916338424036,0.0,0.27096816247736655,false
